id,title,time,content,url
324,Notice of Temporary System Maintenance,2020-02-19 11:34:42+00,"Fellow Binancians,
Binance is undergoing temporary system maintenance. Binance has suspended deposits, withdrawals, spot trading, margin trading, P2P trading, lending, redemption, as well as asset transfers from sub-accounts, margin accounts, futures accounts, and fiat wallets. 
Please note that trading on Binance Futures will continue unaffected during the maintenance period.
We apologize for any inconvenience caused, and thank you for your patience.
Thanks for your support!
Binance Team
2020/02/19
 
Trade on the go with Binance’s mobile crypto trading app:
Download for Android
Download for iOS
 
Find us on 
Telegram: https://t.me/binanceexchange
Twitter: https://twitter.com/binance
Facebook: https://www.facebook.com/binance 
Instagram: https://www.instagram.com/binance",https://binance.zendesk.com/hc/en-us/articles/360039975131-Notice-of-Temporary-System-Maintenance
325,Binance Futures Will Launch QTUM/USDT Perpetual Contract With Up to 50x Leverage,2020-02-19 09:31:00+00,"Fellow Binancians,
Binance Futures will launch QTUM/USDT perpetual contract, with trading opening at 2020/02/20 08:00 AM (UTC). Users will be able to select between 1-50x leverage.
Further information:

Contract Specifications
Leverage and Margin
Binance Futures Fee Schedule
How to Switch Contracts 

Risk warning: Futures trading is a highly risky endeavor, with the potential for both great profits and significant losses. Please be aware that in the event of extreme price movement, there is a chance that all margin balance in your futures wallet may be liquidated.
Thanks for your support!
Binance Team
2020/02/19
 
Trade on the go with Binance’s mobile crypto trading app:
Download for Android
Download for iOS
 
Find us on 
Telegram: https://t.me/binanceexchange
Twitter: https://twitter.com/binance
Facebook: https://www.facebook.com/binance 
Instagram: https://www.instagram.com/binance",https://binance.zendesk.com/hc/en-us/articles/360039972971-Binance-Futures-Will-Launch-QTUM-USDT-Perpetual-Contract-With-Up-to-50x-Leverage
326,Binance Adds Additional Trading Pairs for STRAT and AION,2020-02-19 06:05:16+00,"Fellow Binancians,
Binance will open trading for STRAT/BUSD, STRAT/BNB, STRAT/USDT, AION/BUSD and AION/USDT trading pairs at 2020/02/19 9:00 AM (UTC).
Risk warning: Cryptocurrency trading is subject to high market risk. Please make your trades cautiously. Binance will make best efforts to choose high quality coins, but will not be responsible for your trading losses.
Thanks for your support!
Binance Team
2020/02/19
 
Find us on 
Telegram: https://t.me/binanceexchange
Twitter: https://twitter.com/binance
Facebook: https://www.facebook.com/binance 
Instagram: https://www.instagram.com/binance",https://binance.zendesk.com/hc/en-us/articles/360039968311-Binance-Adds-Additional-Trading-Pairs-for-STRAT-and-AION
327,IOTX Competition Has Now Concluded,2020-02-28 12:13:15+00,"Fellow Binancians,
The IOTX competition has now concluded. All rewards have been distributed to the winners’ accounts. Users can confirm receipt of the rewards via the “Distribution History” page in the Wallet.

Competition link: IOTX Trading Competition, $90,000 In IOTX To Be Won!
Thanks for your support!
Binance Team2020/02/28
 
Trade on the go with Binance’s mobile crypto trading app:
Download for Android
Download for iOS
 
Find us on
Telegram: https://t.me/binanceexchange
Twitter: https://twitter.com/binance
Facebook: https://www.facebook.com/binance 
Instagram: https://www.instagram.com/binance",https://binance.zendesk.com/hc/en-us/articles/360039907912-IOTX-Competition-Has-Now-Concluded
328,"Binance Adds BUSD Margin Pairs for ETC, TRX and ADA",2020-02-27 05:57:23+00,"Fellow Binancians,
Binance’s Margin Trading platform has added ETC/BUSD，TRX/BUSD and ADA/BUSD to its list of available trading pairs. 
For a list of all supported assets and trading pairs for margin trading, please refer to: Margin Data.
Thanks for your support!
Binance Team
2020/02/27
 
Trade on the go with Binance’s mobile crypto trading app:
Download for Android
Download for iOS
 
Find us on 
Telegram: https://t.me/binanceexchange
Twitter: https://twitter.com/binance
Facebook: https://www.facebook.com/binance 
Instagram: https://www.instagram.com/binance",https://binance.zendesk.com/hc/en-us/articles/360039848552-Binance-Adds-BUSD-Margin-Pairs-for-ETC-TRX-and-ADA
160,Binance Lists Siacoin (SC),2018-06-14 02:39:20+00,"Fellow Binancians,
Binance will open trading for SC/BNB, SC/BTC and SC/ETH trading pairs at 2018/06/14 11:00 AM (UTC). Users can now start depositing SC in preparation for trading.
Details:

About Siacoin (SC)
Fees
Rules

Risk warning: Cryptocurrency investment is subject to high market risk. Please make your investments cautiously. Binance will make best efforts to choose high quality coins, but will not be responsible for your investment losses.
Learn more about Siacoin (SC)!
Thanks for your support!
Binance Team
2018/06/14
 
Find us on 
Telegram: https://t.me/binanceexchangeTwitter: https://twitter.com/binance",https://binance.zendesk.com/hc/en-us/articles/360004844211-Binance-Lists-Siacoin-SC-
162,Binance Lists SingularityNET (AGI),2018-06-05 07:14:36+00,"Fellow Binancians,
Binance will open trading for AGI/BNB, AGI/BTC and AGI/ETH trading pairs at 2018/06/05 08:00 AM (UTC). Users can now start depositing AGI in preparation for trading.
Details:

About SingularityNET (AGI)
Fees
Rules

Risk warning: Cryptocurrency investment is subject to high market risk. Please make your investments cautiously. Binance will make best efforts to choose high quality coins, but will not be responsible for your investment losses.
Learn more about SingularityNET (AGI)!
Thanks for your support!
Binance Team
2018/06/05
 
Find us on 
Telegram: https://t.me/binanceexchange
Twitter: https://twitter.com/binance",https://binance.zendesk.com/hc/en-us/articles/360004538211-Binance-Lists-SingularityNET-AGI-
329,Binance Futures Launches 50% Rebate on Trading Fees for XTZ/USDT Contract,2020-02-14 07:24:43+00,"Fellow Binancians,
Binance is excited to announce that we will be providing a 50% trading fee rebate to users who trade the XTZ/USDT perpetual contract on Binance Futures from 2020/02/14 12:00 PM (UTC) to 2020/02/21 12:00 PM (UTC). 
If you have not opened a Binance Futures account yet, you can click here for an additional 10% discount on trading fees across all contracts for the first 30 days!
Related links:

How to Open a Futures Account
How to Transfer Funds
Fee Schedule of Binance Futures

Notes:

Rebates Distribution: Rebates will be distributed within 5 working days. You will be able to login and see your rewards via Wallet > Distribution History.
Rebate amounts are based on actual trading fees paid.
The Rebate will be as per the token used to pay the fee.
Binance reserves the right to cancel or amend any Activity or Activity Rules at our sole discretion.

Risk warning: Futures trading is a highly risky endeavor, with the potential for both great profits and significant losses. Please be aware that in the event of extreme price movement, there is a chance that all margin balance in your futures wallet may be liquidated.
Thanks for your support!
Binance Team
2020/02/14
 
Trade on the go with Binance’s mobile crypto trading app:
Download for Android
Download for iOS
 
Find us on 
Telegram: https://t.me/binanceexchange
Twitter: https://twitter.com/binance
Facebook: https://www.facebook.com/binance 
Instagram: https://www.instagram.com/binance",https://binance.zendesk.com/hc/en-us/articles/360039824851-Binance-Futures-Launches-50-Rebate-on-Trading-Fees-for-XTZ-USDT-Contract
330,"Binance Adds BUSD Trading Pairs for BAT, ENJ, NANO, ONT & RVN",2020-02-14 05:00:52+00,"Fellow Binancians,
Binance will open trading for BAT/BUSD, ENJ/BUSD, NANO/BUSD, ONT/BUSD and RVN/BUSD trading pairs at 2020/02/14 8:00 AM (UTC).
Risk warning: Cryptocurrency trading is subject to high market risk. Please make your trades cautiously. Binance will make best efforts to choose high quality coins, but will not be responsible for your trading losses.
Thanks for your support!
Binance Team
2020/02/14
 
Find us on 
Telegram: https://t.me/binanceexchange
Twitter: https://twitter.com/binance
Facebook: https://www.facebook.com/binance 
Instagram: https://www.instagram.com/binance",https://binance.zendesk.com/hc/en-us/articles/360039821091-Binance-Adds-BUSD-Trading-Pairs-for-BAT-ENJ-NANO-ONT-RVN
331,Binance Will Support Lisk (LSK) Staking,2020-02-26 09:32:07+00,"Fellow Binancians,
Binance will be adding support for Lisk (LSK) staking starting from 2020/02/27 and will distribute LSK staking rewards as detailed below:
Monthly LSK Staking Airdrop Program

Starting from 2020/02/27 at 00:00 AM UTC, Binance will begin taking live snapshots of user LSK balances.
LSK Staking distribution will be calculated as follows:LSK generated by each user = Total LSK staking rewards received by Binance * User LSK holdings ratio.


User LSK holdings ratio = Average user LSK holdings / Average total LSK staked by Binance.
Users must hold at least 1 LSK in order to qualify for staking rewards.
The initial distribution of LSK staking rewards will be calculated through to 2020/03/31, with the total amount distributed equal to the staking rewards accrued during the period.
LSK rewards are calculated daily and distributed monthly. Distributions will be completed before the 20th of each month.

Move your coins to Binance from anywhere and enjoy hassle-free staking rewards. Other rewarded coins supported by Binance can be found on the Staking Home Page here.
Thank you for your support!
Binance Team
2020/02/26
 
Trade on the go with Binance’s mobile crypto trading app:
Download for Android
Download for iOS
 
Find us on 
Telegram: https://t.me/binanceexchange
Twitter: https://twitter.com/binance
Facebook: https://www.facebook.com/binance 
Instagram: https://www.instagram.com/binance",https://binance.zendesk.com/hc/en-us/articles/360039810152-Binance-Will-Support-Lisk-LSK-Staking
